graph1,graph2,2411,2412,6231
"molecule18","molecule45",5,6,3
"molecule18","molecule25",7,10,5
"molecule18","molecule31",24,30,20
"molecule18","molecule22",7,10,5
"molecule18","molecule16",5,6,3
"molecule18","molecule65",9,12,9
"molecule18","molecule02",17,22,11
"molecule18","molecule32",11,16,11
"molecule18","molecule48",35,46,23
"molecule18","molecule26",9,12,9
"molecule18","molecule19",7,8,7
"molecule18","molecule14",10,12,6
"molecule18","molecule04",10,12,6
"molecule18","molecule63",39,49,26
"molecule18","molecule00",30,36,18
"molecule18","molecule39",24,31,17
"molecule18","molecule50",45,58,29
"molecule18","molecule09",12,14,10
"molecule18","molecule47",31,41,22
"molecule18","molecule21",6,10,8
"molecule18","molecule13",20,24,12
"molecule18","molecule30",19,24,17
"molecule18","molecule52",55,68,35
"molecule18","molecule23",12,14,10
"molecule18","molecule15",7,10,5
"molecule18","molecule53",14,18,12
"molecule18","molecule62",34,43,23
"molecule18","molecule49",36,47,25
"molecule18","molecule07",5,6,3
"molecule18","molecule34",8,12,12
"molecule18","molecule03",15,18,9
"molecule18","molecule10",7,8,7
"molecule18","molecule51",53,66,33
"molecule18","molecule57",40,50,26
"molecule18","molecule54",11,14,13
"molecule18","molecule64",48,60,30
"molecule18","molecule55",35,46,23
"molecule18","molecule17",5,6,3
"molecule18","molecule60",6,8,10
"molecule18","molecule37",7,10,5
"molecule18","molecule41",41,50,25
"molecule18","molecule44",4,6,6
"molecule18","molecule61",21,28,16
"molecule18","molecule36",6,10,8
"molecule18","molecule35",24,30,18
"molecule18","molecule20",2,2,4
"molecule18","molecule06",10,12,6
"molecule18","molecule29",14,18,14
"molecule18","molecule46",7,8,7
"molecule18","molecule43",19,24,15
"molecule18","molecule58",9,12,9
"molecule18","molecule01",25,30,15
"molecule18","molecule66",6,8,10
"molecule18","molecule67",22,26,16
"molecule18","molecule11",14,18,12
"molecule18","molecule59",4,6,6
"molecule18","molecule24",10,12,6
"molecule18","molecule08",12,16,8
"molecule18","molecule38",9,12,9
"molecule18","molecule12",25,30,15
"molecule18","molecule28",27,32,19
"molecule18","molecule56",38,48,24
"molecule18","molecule33",6,10,8
"molecule18","molecule27",25,30,15
"molecule18","molecule40",38,48,24
"molecule18","molecule05",4,8,4
"molecule18","molecule42",43,52,27
"molecule45","molecule18",5,6,3
"molecule45","molecule25",2,4,2
"molecule45","molecule31",27,34,17
"molecule45","molecule22",2,4,2
"molecule45","molecule16",10,12,6
"molecule45","molecule65",10,12,6
"molecule45","molecule02",22,28,14
"molecule45","molecule32",12,16,8
"molecule45","molecule48",30,40,20
"molecule45","molecule26",4,6,6
"molecule45","molecule19",12,14,10
"molecule45","molecule14",15,18,9
"molecule45","molecule04",15,18,9
"molecule45","molecule63",34,43,23
"molecule45","molecule00",35,42,21
"molecule45","molecule39",19,25,14
"molecule45","molecule50",40,52,26
"molecule45","molecule09",17,20,13
"molecule45","molecule47",26,35,19
"molecule45","molecule21",7,10,5
"molecule45","molecule13",25,30,15
"molecule45","molecule30",22,28,14
"molecule45","molecule52",50,62,32
"molecule45","molecule23",7,8,7
"molecule45","molecule15",6,10,8
"molecule45","molecule53",15,18,9
"molecule45","molecule62",29,37,20
"molecule45","molecule49",31,41,22
"molecule45","molecule07",10,12,6
"molecule45","molecule34",9,12,9
"molecule45","molecule03",20,24,12
"molecule45","molecule10",12,14,10
"molecule45","molecule51",48,60,30
"molecule45","molecule57",35,44,23
"molecule45","molecule54",12,14,10
"molecule45","molecule64",43,54,27
"molecule45","molecule55",30,40,20
"molecule45","molecule17",10,12,6
"molecule45","molecule60",7,8,7
