graph1,graph2,2411,2412,6231
"molecule_3875","molecule_3419",9,9,16
"molecule_3875","molecule_3676",14,19,23
"molecule_3875","molecule_3535",15,20,29
"molecule_3875","molecule_4153",12,17,22
"molecule_3875","molecule_3086",15,18,23
"molecule_3875","molecule_3227",16,21,27
"molecule_3875","molecule_3601",4,4,12
"molecule_3875","molecule_3486",16,21,27
"molecule_3875","molecule_3087",12,17,19
"molecule_3419","molecule_3875",9,9,16
"molecule_3419","molecule_3676",14,19,25
"molecule_3419","molecule_3535",11,16,17
"molecule_3419","molecule_4153",8,12,16
"molecule_3419","molecule_3086",11,14,23
"molecule_3419","molecule_3227",12,17,23
"molecule_3419","molecule_3601",13,13,28
"molecule_3419","molecule_3486",18,23,33
"molecule_3419","molecule_3087",11,16,17
"molecule_3676","molecule_3875",14,19,23
"molecule_3676","molecule_3419",14,19,25
"molecule_3676","molecule_3535",9,9,24
"molecule_3676","molecule_4153",15,20,27
"molecule_3676","molecule_3086",15,22,26
"molecule_3676","molecule_3227",13,17,22
"molecule_3676","molecule_3601",14,19,23
"molecule_3676","molecule_3486",4,4,12
"molecule_3676","molecule_3087",11,15,20
"molecule_3535","molecule_3875",15,20,29
"molecule_3535","molecule_3419",11,16,17
"molecule_3535","molecule_3676",9,9,24
"molecule_3535","molecule_4153",14,21,25
"molecule_3535","molecule_3086",15,21,26
"molecule_3535","molecule_3227",8,12,16
"molecule_3535","molecule_3601",19,24,37
"molecule_3535","molecule_3486",13,13,36
"molecule_3535","molecule_3087",12,17,22
"molecule_4153","molecule_3875",12,17,22
"molecule_4153","molecule_3419",8,12,16
"molecule_4153","molecule_3676",15,20,27
"molecule_4153","molecule_3535",14,21,25
"molecule_4153","molecule_3086",13,17,21
"molecule_4153","molecule_3227",14,17,31
"molecule_4153","molecule_3601",16,21,34
"molecule_4153","molecule_3486",18,23,35
"molecule_4153","molecule_3087",12,15,19
"molecule_3086","molecule_3875",15,18,23
"molecule_3086","molecule_3419",11,14,23
"molecule_3086","molecule_3676",15,22,26
"molecule_3086","molecule_3535",15,21,26
"molecule_3086","molecule_4153",13,17,21
"molecule_3086","molecule_3227",10,14,16
"molecule_3086","molecule_3601",18,21,33
"molecule_3086","molecule_3486",19,26,34
"molecule_3086","molecule_3087",14,20,20
"molecule_3227","molecule_3875",16,21,27
"molecule_3227","molecule_3419",12,17,23
"molecule_3227","molecule_3676",13,17,22
"molecule_3227","molecule_3535",8,12,16
"molecule_3227","molecule_4153",14,17,31
"molecule_3227","molecule_3086",10,14,16
"molecule_3227","molecule_3601",20,25,37
"molecule_3227","molecule_3486",17,21,32
"molecule_3227","molecule_3087",10,10,24
"molecule_3601","molecule_3875",4,4,12
"molecule_3601","molecule_3419",13,13,28
"molecule_3601","molecule_3676",14,19,23
"molecule_3601","molecule_3535",19,24,37
"molecule_3601","molecule_4153",16,21,34
"molecule_3601","molecule_3086",18,21,33
"molecule_3601","molecule_3227",20,25,37
"molecule_3601","molecule_3486",14,19,23
"molecule_3601","molecule_3087",16,21,31
"molecule_3486","molecule_3875",16,21,27
"molecule_3486","molecule_3419",18,23,33
"molecule_3486","molecule_3676",4,4,12
"molecule_3486","molecule_3535",13,13,36
"molecule_3486","molecule_4153",18,23,35
"molecule_3486","molecule_3086",19,26,34
"molecule_3486","molecule_3227",17,21,32
"molecule_3486","molecule_3601",14,19,23
"molecule_3486","molecule_3087",15,19,32
"molecule_3087","molecule_3875",12,17,19
"molecule_3087","molecule_3419",11,16,17
"molecule_3087","molecule_3676",11,15,20
"molecule_3087","molecule_3535",12,17,22
"molecule_3087","molecule_4153",12,15,19
"molecule_3087","molecule_3086",14,20,20
"molecule_3087","molecule_3227",10,10,24
"molecule_3087","molecule_3601",16,21,31
"molecule_3087","molecule_3486",15,19,32
